URL,講義コード,講義名称,学則科目名称,校地,代表教員,科目群,科目コード,授業実践言語,開講時期
https://syllabus.jaist.ac.jp/public/web/Syllabus/WebSyllabusSansho/UI/WSL_SyllabusSansho.aspx?P1=I4934000&P2=2025&P3=20250401,I4934000,AI/人を対象とした研究倫理Ⅰ,AI/人を対象とした研究倫理Ⅰ,石川,長谷川　忍,情報科学系科目（石川）,I493,日本語,2の1期
https://syllabus.jaist.ac.jp/public/web/Syllabus/WebSyllabusSansho/UI/WSL_SyllabusSansho.aspx?P1=I4720000&P2=2025&P3=20250401,I4720000,IoT技術特論,IoT技術特論,石川,,情報科学系科目（石川）,I472,日本語,非開講
https://syllabus.jaist.ac.jp/public/web/Syllabus/WebSyllabusSansho/UI/WSL_SyllabusSansho.aspx?P1=I1111000&P2=2025&P3=20250401,I1111000,アルゴリズムとデータ構造,アルゴリズムとデータ構造,石川,池田　心,情報科学系科目（石川）,I111,日本語,1の1期
https://syllabus.jaist.ac.jp/public/web/Syllabus/WebSyllabusSansho/UI/WSL_SyllabusSansho.aspx?P1=I2331000&P2=2025&P3=20250401,I2331000,オペレーティングシステム特論,オペレーティングシステム特論,石川,宇多　仁,情報科学系科目（石川）,I233,日本語,1の1期
https://syllabus.jaist.ac.jp/public/web/Syllabus/WebSyllabusSansho/UI/WSL_SyllabusSansho.aspx?P1=I2351000&P2=2025&P3=20250401,I2351000,ゲーム情報学特論,ゲーム情報学特論,石川,池田　心,情報科学系科目（石川）,I235,日本語,1の1期
https://syllabus.jaist.ac.jp/public/web/Syllabus/WebSyllabusSansho/UI/WSL_SyllabusSansho.aspx?P1=I2262000&P2=2025&P3=20250401,I2262000,コンピュータネットワーク特論,コンピュータネットワーク特論,石川,丹　康雄,情報科学系科目（石川）,I226,日本語,1の2期
https://syllabus.jaist.ac.jp/public/web/Syllabus/WebSyllabusSansho/UI/WSL_SyllabusSansho.aspx?P1=I242EJ00&P2=2025&P3=20250401,I242EJ00,サイバーセキュリティ演習(EJ),サイバーセキュリティ演習(E),石川,,情報科学系科目（石川）,I242EJ,日本語/英語,非開講
https://syllabus.jaist.ac.jp/public/web/Syllabus/WebSyllabusSansho/UI/WSL_SyllabusSansho.aspx?P1=I241EJ00&P2=2025&P3=20250401,I241EJ00,サイバーセキュリティ特論(EJ),サイバーセキュリティ特論(E),石川,,情報科学系科目（石川）,I241EJ,日本語/英語,非開講
https://syllabus.jaist.ac.jp/public/web/Syllabus/WebSyllabusSansho/UI/WSL_SyllabusSansho.aspx?P1=I2141000&P2=2025&P3=20250401,I2141000,システム最適化,システム最適化,石川,平石　邦彦,情報科学系科目（石川）,I214,日本語,1の1期
https://syllabus.jaist.ac.jp/public/web/Syllabus/WebSyllabusSansho/UI/WSL_SyllabusSansho.aspx?P1=I4274000&P2=2025&P3=20250401,I4274000,システム制御理論,システム制御理論,石川,浅野　文彦,情報科学系科目（石川）,I427,日本語,2の1期
https://syllabus.jaist.ac.jp/public/web/Syllabus/WebSyllabusSansho/UI/WSL_SyllabusSansho.aspx?P1=I4780000&P2=2025&P3=20250401,I4780000,システム開発管理,システム開発管理,石川,,情報科学系科目（石川）,I478,日本語,非開講
https://syllabus.jaist.ac.jp/public/web/Syllabus/WebSyllabusSansho/UI/WSL_SyllabusSansho.aspx?P1=I4831000&P2=2025&P3=20250401,I4831000,スマート組込みシステム開発演習,スマート組込みシステム開発演習,石川,"SIOUTIS, Marios",情報科学系科目（石川）,I483,日本語,1の1期
https://syllabus.jaist.ac.jp/public/web/Syllabus/WebSyllabusSansho/UI/WSL_SyllabusSansho.aspx?P1=I4430000&P2=2025&P3=20250401,I4430000,ソフトウェア検証論,ソフトウェア検証論,石川,,情報科学系科目（石川）,I443,日本語,非開講
https://syllabus.jaist.ac.jp/public/web/Syllabus/WebSyllabusSansho/UI/WSL_SyllabusSansho.aspx?P1=I2192000&P2=2025&P3=20250401,I2192000,ソフトウェア設計論,ソフトウェア設計論,石川,青木　利晃,情報科学系科目（石川）,I219,日本語,1の2期
https://syllabus.jaist.ac.jp/public/web/Syllabus/WebSyllabusSansho/UI/WSL_SyllabusSansho.aspx?P1=I4680000&P2=2025&P3=20250401,I4680000,ダイナミクスのモデリング,ダイナミクスのモデリング,石川,,情報科学系科目（石川）,I468,日本語,非開講
https://syllabus.jaist.ac.jp/public/web/Syllabus/WebSyllabusSansho/UI/WSL_SyllabusSansho.aspx?P1=I1151000&P2=2025&P3=20250401,I1151000,デジタル論理と計算機構成,デジタル論理と計算機構成,石川,井口　寧,情報科学系科目（石川）,I115,日本語,1の1期
https://syllabus.jaist.ac.jp/public/web/Syllabus/WebSyllabusSansho/UI/WSL_SyllabusSansho.aspx?P1=I1191000&P2=2025&P3=20250401,I1191000,データ分析のための情報統計学,データ分析のための情報統計学,石川,木谷　俊介,情報科学系科目（石川）,I119,日本語,1の1期
https://syllabus.jaist.ac.jp/public/web/Syllabus/WebSyllabusSansho/UI/WSL_SyllabusSansho.aspx?P1=I4945000&P2=2025&P3=20250401,I4945000,データサイエンス実践演習Ⅰ,データサイエンス実践演習Ⅰ,石川,井之上　直也,情報科学系科目（石川）,I494,日本語,2の2期
https://syllabus.jaist.ac.jp/public/web/Syllabus/WebSyllabusSansho/UI/WSL_SyllabusSansho.aspx?P1=I4505000&P2=2025&P3=20250401,I4505000,ネットワーク設計演習,ネットワーク設計演習,石川,リム　勇仁,情報科学系科目（石川）,I450,日本語,2の2期
https://syllabus.jaist.ac.jp/public/web/Syllabus/WebSyllabusSansho/UI/WSL_SyllabusSansho.aspx?P1=I4733000&P2=2025&P3=20250401,I4733000,ハード・ソフト・コデザイン,ハード・ソフト・コデザイン,石川,非常勤講師（石川）,情報科学系科目（石川）,I473,日本語,夏期集中
https://syllabus.jaist.ac.jp/public/web/Syllabus/WebSyllabusSansho/UI/WSL_SyllabusSansho.aspx?P1=I4970000&P2=2025&P3=20250401,I4970000,ヒューマンAIインタラクション演習Ⅰ,ヒューマンAIインタラクション演習Ⅰ,石川,,情報科学系科目（石川）,I497,日本語,非開講
https://syllabus.jaist.ac.jp/public/web/Syllabus/WebSyllabusSansho/UI/WSL_SyllabusSansho.aspx?P1=I4960000&P2=2025&P3=20250401,I4960000,ヒューマンAIインタラクションⅠ,ヒューマンAIインタラクションⅠ,石川,,情報科学系科目（石川）,I496,日本語,非開講
https://syllabus.jaist.ac.jp/public/web/Syllabus/WebSyllabusSansho/UI/WSL_SyllabusSansho.aspx?P1=I1162000&P2=2025&P3=20250401,I1162000,プログラミング基礎,プログラミング基礎,石川,緒方　和博,情報科学系科目（石川）,I116,日本語,1の2期
https://syllabus.jaist.ac.jp/public/web/Syllabus/WebSyllabusSansho/UI/WSL_SyllabusSansho.aspx?P1=I4670000&P2=2025&P3=20250401,I4670000,プロセッサ設計演習,プロセッサ設計演習,石川,,情報科学系科目（石川）,I467,日本語,非開講
https://syllabus.jaist.ac.jp/public/web/Syllabus/WebSyllabusSansho/UI/WSL_SyllabusSansho.aspx?P1=I4160000&P2=2025&P3=20250401,I4160000,並列処理,並列処理,石川,,情報科学系科目（石川）,I416,日本語,非開講
https://syllabus.jaist.ac.jp/public/web/Syllabus/WebSyllabusSansho/UI/WSL_SyllabusSansho.aspx?P1=I4894000&P2=2025&P3=20250401,I4894000,公開鍵暗号理論,公開鍵暗号理論,石川,藤﨑　英一郎,情報科学系科目（石川）,I489,日本語,2の1期
https://syllabus.jaist.ac.jp/public/web/Syllabus/WebSyllabusSansho/UI/WSL_SyllabusSansho.aspx?P1=I4664000&P2=2025&P3=20250401,I4664000,国際標準化概論,国際標準化概論,石川,島田　淳一,情報科学系科目（石川）,I466,日本語,2の1期
https://syllabus.jaist.ac.jp/public/web/Syllabus/WebSyllabusSansho/UI/WSL_SyllabusSansho.aspx?P1=I1141000&P2=2025&P3=20250401,I1141000,基礎情報数学,基礎情報数学,石川,冨田　尭,情報科学系科目（石川）,I114,日本語,1の1期
https://syllabus.jaist.ac.jp/public/web/Syllabus/WebSyllabusSansho/UI/WSL_SyllabusSansho.aspx?P1=I1201000&P2=2025&P3=20250401,I1201000,基礎論理数学,基礎論理数学,石川,石井　大輔,情報科学系科目（石川）,I120,日本語,1の1期
https://syllabus.jaist.ac.jp/public/web/Syllabus/WebSyllabusSansho/UI/WSL_SyllabusSansho.aspx?P1=I4710000&P2=2025&P3=20250401,I4710000,実践的IoTシステムアーキテクチャ論,実践的IoTシステムアーキテクチャ論,石川,,情報科学系科目（石川）,I471,日本語,非開講
https://syllabus.jaist.ac.jp/public/web/Syllabus/WebSyllabusSansho/UI/WSL_SyllabusSansho.aspx?P1=I2371000&P2=2025&P3=20250401,I2371000,形式言語とオートマトン,形式言語とオートマトン,石川,髙木　翼,情報科学系科目（石川）,I237,日本語,1の1期
https://syllabus.jaist.ac.jp/public/web/Syllabus/WebSyllabusSansho/UI/WSL_SyllabusSansho.aspx?P1=I2324000&P2=2025&P3=20250401,I2324000,情報理論,情報理論,石川,非常勤講師（石川）,情報科学系科目（石川）,I232,日本語,2の1期
https://syllabus.jaist.ac.jp/public/web/Syllabus/WebSyllabusSansho/UI/WSL_SyllabusSansho.aspx?P1=I465S200&P2=2025&P3=20250401,I465S200,情報セキュリティ運用リテラシー,情報セキュリティ運用リテラシー,石川,藤﨑　英一郎,情報科学系科目（石川）,I465S,日本語,1の2期
https://syllabus.jaist.ac.jp/public/web/Syllabus/WebSyllabusSansho/UI/WSL_SyllabusSansho.aspx?P1=I2121000&P2=2025&P3=20250401,I2121000,情報解析学特論,情報解析学特論,石川,吉高　淳夫,情報科学系科目（石川）,I212,日本語,1の1期
https://syllabus.jaist.ac.jp/public/web/Syllabus/WebSyllabusSansho/UI/WSL_SyllabusSansho.aspx?P1=I2114000&P2=2025&P3=20250401,I2114000,数理論理学,数理論理学,石川,髙木　翼,情報科学系科目（石川）,I211,日本語,2の1期
https://syllabus.jaist.ac.jp/public/web/Syllabus/WebSyllabusSansho/UI/WSL_SyllabusSansho.aspx?P1=I2400000&P2=2025&P3=20250401,I2400000,暗号理論,暗号理論,石川,,情報科学系科目（石川）,I240,日本語,非開講
https://syllabus.jaist.ac.jp/public/web/Syllabus/WebSyllabusSansho/UI/WSL_SyllabusSansho.aspx?P1=I466S400&P2=2025&P3=20250401,I466S400,最新情報セキュリティ理論と応用,最新情報セキュリティ理論と応用,石川,非常勤講師（石川）,情報科学系科目（石川）,I466S,日本語,2の1期
https://syllabus.jaist.ac.jp/public/web/Syllabus/WebSyllabusSansho/UI/WSL_SyllabusSansho.aspx?P1=I2392000&P2=2025&P3=20250401,I2392000,機械学習,機械学習,石川,岡田　将吾,情報科学系科目（石川）,I239,日本語,1の2期
https://syllabus.jaist.ac.jp/public/web/Syllabus/WebSyllabusSansho/UI/WSL_SyllabusSansho.aspx?P1=I4955000&P2=2025&P3=20250401,I4955000,機械学習演習Ⅰ,機械学習演習Ⅰ,石川,白井　清昭,情報科学系科目（石川）,I495,日本語,2の2期
https://syllabus.jaist.ac.jp/public/web/Syllabus/WebSyllabusSansho/UI/WSL_SyllabusSansho.aspx?P1=I438EJ00&P2=2025&P3=20250401,I438EJ00,演習グラフ理論（EJ),演習グラフ理論(E),石川,,情報科学系科目（石川）,I438EJ,日本語/英語,非開講
https://syllabus.jaist.ac.jp/public/web/Syllabus/WebSyllabusSansho/UI/WSL_SyllabusSansho.aspx?P1=I4192000&P2=2025&P3=20250401,I4192000,画像情報処理特論,画像情報処理特論,石川,吉高　淳夫,情報科学系科目（石川）,I419,日本語,1の2期
https://syllabus.jaist.ac.jp/public/web/Syllabus/WebSyllabusSansho/UI/WSL_SyllabusSansho.aspx?P1=I4990000&P2=2025&P3=20250401,I4990000,知覚実験演習Ⅰ,知覚実験演習Ⅰ,石川,,情報科学系科目（石川）,I499,日本語,非開講
https://syllabus.jaist.ac.jp/public/web/Syllabus/WebSyllabusSansho/UI/WSL_SyllabusSansho.aspx?P1=I4980000&P2=2025&P3=20250401,I4980000,知覚情報処理Ⅰ,知覚情報処理Ⅰ,石川,,情報科学系科目（石川）,I498,日本語,非開講
https://syllabus.jaist.ac.jp/public/web/Syllabus/WebSyllabusSansho/UI/WSL_SyllabusSansho.aspx?P1=I486S000&P2=2025&P3=20250401,I486S000,秘密計算,秘密計算,石川,,情報科学系科目（石川）,I486S,日本語,非開講
https://syllabus.jaist.ac.jp/public/web/Syllabus/WebSyllabusSansho/UI/WSL_SyllabusSansho.aspx?P1=I2254000&P2=2025&P3=20250401,I2254000,統計的信号処理特論,統計的信号処理特論,石川,本郷　研太,情報科学系科目（石川）,I225,日本語,2の1期
https://syllabus.jaist.ac.jp/public/web/Syllabus/WebSyllabusSansho/UI/WSL_SyllabusSansho.aspx?P1=I2234000&P2=2025&P3=20250401,I2234000,自然言語処理論,自然言語処理論,石川,井之上　直也,情報科学系科目（石川）,I223,日本語,2の1期
https://syllabus.jaist.ac.jp/public/web/Syllabus/WebSyllabusSansho/UI/WSL_SyllabusSansho.aspx?P1=I2182000&P2=2025&P3=20250401,I2182000,計算機アーキテクチャ特論,計算機アーキテクチャ特論,石川,田中　清史,情報科学系科目（石川）,I218,日本語,1の2期
https://syllabus.jaist.ac.jp/public/web/Syllabus/WebSyllabusSansho/UI/WSL_SyllabusSansho.aspx?P1=I1121000&P2=2025&P3=20250401,I1121000,計算機システムとAI基礎,計算機システムとAI基礎,石川,本郷　研太,情報科学系科目（石川）,I112,日本語,1の1期
https://syllabus.jaist.ac.jp/public/web/Syllabus/WebSyllabusSansho/UI/WSL_SyllabusSansho.aspx?P1=I2384000&P2=2025&P3=20250401,I2384000,計算論,計算論,石川,上原　隆平,情報科学系科目（石川）,I238,日本語,2の1期
https://syllabus.jaist.ac.jp/public/web/Syllabus/WebSyllabusSansho/UI/WSL_SyllabusSansho.aspx?P1=I4110000&P2=2025&P3=20250401,I4110000,認識処理工学特論,認識処理工学特論,石川,,情報科学系科目（石川）,I411,日本語,非開講
https://syllabus.jaist.ac.jp/public/web/Syllabus/WebSyllabusSansho/UI/WSL_SyllabusSansho.aspx?P1=I4484000&P2=2025&P3=20250401,I4484000,遠隔教育システム工学,遠隔教育システム工学,石川,長谷川　忍,情報科学系科目（石川）,I448,日本語,2の1期
https://syllabus.jaist.ac.jp/public/web/Syllabus/WebSyllabusSansho/UI/WSL_SyllabusSansho.aspx?P1=I2172000&P2=2025&P3=20250401,I2172000,関数プログラミング,関数プログラミング,石川,緒方　和博,情報科学系科目（石川）,I217,日本語,1の2期
https://syllabus.jaist.ac.jp/public/web/Syllabus/WebSyllabusSansho/UI/WSL_SyllabusSansho.aspx?P1=I4320000&P2=2025&P3=20250401,I4320000,離散状態システムの理論,離散状態システムの理論,石川,,情報科学系科目（石川）,I432,日本語,非開講
https://syllabus.jaist.ac.jp/public/web/Syllabus/WebSyllabusSansho/UI/WSL_SyllabusSansho.aspx?P1=I2132000&P2=2025&P3=20250401,I2132000,離散信号処理特論,離散信号処理特論,石川,浅野　文彦,情報科学系科目（石川）,I213,日本語,1の2期
https://syllabus.jaist.ac.jp/public/web/Syllabus/WebSyllabusSansho/UI/WSL_SyllabusSansho.aspx?P1=I4392000&P2=2025&P3=20250401,I4392000,音声情報処理特論,音声情報処理特論,石川,鵜木　祐史,情報科学系科目（石川）,I439,日本語,1の2期
https://syllabus.jaist.ac.jp/public/web/Syllabus/WebSyllabusSansho/UI/WSL_SyllabusSansho.aspx?P1=I4405000&P2=2025&P3=20250401,I4405000,高機能オペレーティングシステム,高機能オペレーティングシステム,石川,田中　清史,情報科学系科目（石川）,I440,日本語,2の2期
https://syllabus.jaist.ac.jp/public/web/Syllabus/WebSyllabusSansho/UI/WSL_SyllabusSansho.aspx?P1=I4412000&P2=2025&P3=20250401,I4412000,高機能コンピュータネットワーク,高機能コンピュータネットワーク,石川,宇多　仁,情報科学系科目（石川）,I441,日本語,1の2期
https://syllabus.jaist.ac.jp/public/web/Syllabus/WebSyllabusSansho/UI/WSL_SyllabusSansho.aspx?P1=I4814000&P2=2025&P3=20250401,I4814000,高信頼組込みシステム開発演習,高信頼組込みシステム開発演習,石川,鈴木　正人,情報科学系科目（石川）,I481,日本語,2の1期
https://syllabus.jaist.ac.jp/public/web/Syllabus/WebSyllabusSansho/UI/WSL_SyllabusSansho.aspx?P1=I4825000&P2=2025&P3=20250401,I4825000,高信頼組込みシステム開発プロセス設計,高信頼組込みシステム開発プロセス設計,石川,鈴木　正人,情報科学系科目（石川）,I482,日本語,2の2期
